Actual_1,Actual_2,Actual_3,Actual_4,Actual_5,Predicted_1,Predicted_2,Predicted_3,Predicted_4,Predicted_5
4.864,6.344,27.857,11.205,16.651,4.6155798446602,5.95804893204588,25.9745141047891,11.9494852400448,14.7535854638512
6.48,8.296,35.502,18.892,16.61,4.60807479885998,5.94966813651341,26.066221649334,11.9595989887498,14.790258028212
3.936,4.971,22.736,9.606,13.13,4.52850678032989,5.91525094867555,24.7808105777294,11.7554645356421,14.4453902925167
4.278,5.611,27.583,15.535,12.048,4.79622913763261,6.25529797596982,26.6796234218908,12.2786706597751,14.898876558887
5.007,6.013,25.309,11.77,13.539,4.54803099509628,5.93606445885307,24.9718056410889,11.7990627394326,14.4975135722678
4.133,5.202,24.117,11.084,13.033,4.52889453093819,5.91617972225936,24.7896653600309,11.757649810807,14.4482696931388
4.389,5.409,24.965,10.593,14.372,4.67792273102286,6.07523175079315,25.7844100539004,12.0094295334379,14.6709604050479
5.177,6.337,26.83,10.833,15.997,4.78299250092558,6.21461801240499,26.4976604726931,12.2159845532786,14.8421571988949
5.016,6.19,27.16,11.631,15.53,4.60911904356563,5.99134118464517,25.2902630476082,11.8774605504977,14.5536711380996
4.252,5.585,28.935,12.071,16.865,4.59326344257664,6.06076145338442,27.9758247581795,13.24723157722,14.9827686482914
4.442,5.664,26.886,10.423,16.462,4.70645917802946,6.19173248046972,26.7856875155732,10.8329658680837,16.5985372003322
5.428,6.928,29.213,14.856,14.356,4.62694500475258,5.86570571155022,27.696075832368,14.2020026890841,12.9826245531293
4.317,5.309,24.604,10.612,13.992,4.6969354422558,5.78115916123396,26.0513240242301,11.4887622836093,14.1552752659648
4.489,5.518,25.57,10.429,14.141,4.72288832443659,5.8518305485518,25.9247922689427,11.0418299489614,14.638501151731
5.061,6.529,29.292,13.338,15.954,4.84838975977624,6.37069829484512,26.9408739410949,11.8253417712105,15.4748971254414
4.047,5.047,23.099,9.117,13.982,4.72667262889599,5.86433332390972,25.9135846743311,10.9807761331043,14.7163683909283
4.372,5.399,23.959,12.019,11.94,4.76381671270894,6.03514109425674,26.4654048755315,11.731008316561,14.6319606132566
4.681,5.705,23.789,10.131,13.658,4.7786057822716,6.09213272511715,26.5315926072407,11.7158083914802,14.7965908415724
4.296,5.735,27.909,14.507,13.402,4.52746923698437,5.81230481892392,28.1500933153305,14.4518200276642,13.3643752351298
4.706,6.136,27.858,11.558,16.3,4.67439160220379,6.27750095748952,27.6227391464375,11.9853453926356,16.3632443173668
5.077,6.45,29.005,12.618,16.388,4.89608683904666,6.5796130826832,27.2640254346444,11.892069359995,16.0346623792523
4.506,5.695,25.707,9.887,15.82,4.77265638030203,6.0518402066384,25.8883987206366,10.2901214422176,15.7946904852906
4.761,5.803,25.066,10.824,14.242,4.77091342869375,6.05946436654725,26.4653906495376,11.6634993583063,14.7445403147733
5.561,6.807,28.956,13.056,15.9,4.99330447979542,7.03682716521977,28.649996136436,13.6454062407895,16.0317684536923
4.742,5.915,26.665,12.601,14.064,4.6773303301138,5.72020538914705,26.2646599419022,12.1692253771293,13.4782305413337
4.864,6.344,27.857,11.205,16.651,4.77767838039588,6.08850573423139,26.5268937989548,11.7157282263846,14.7868375750681
4.278,5.611,27.583,15.535,12.048,4.52641963029621,5.23632033451728,26.5662954884042,14.1474635271476,10.8106157051264
4.389,5.409,24.965,10.593,14.372,4.94902363295399,6.8168758718488,27.947719082385,12.743428419769,16.0591779357524
5.177,6.337,26.83,10.833,15.997,4.98740642962648,7.01004378795813,28.5709493702971,13.5455456441842,16.03137608331
4.746,5.719,25.865,10.565,15.3,4.84173490673184,6.32691551819531,26.7154609156124,11.4583626260795,15.6124058175127
5.274,6.357,27.608,11.603,16.004,4.78084887260108,6.10075970103097,26.5414255076304,11.7130974227992,14.8218025203814
