Actual_1,Actual_2,Actual_3,Actual_4,Actual_5,Predicted_1,Predicted_2,Predicted_3,Predicted_4,Predicted_5
4.252,5.585,28.935,12.071,16.865,4.53407157134964,6.35393111744828,27.9365724415237,12.5627275681769,14.848561782207
5.428,6.928,29.213,14.856,14.356,4.38998282823957,6.39291416790883,28.5013107492395,12.9559265254099,14.6761399230401
4.317,5.309,24.604,10.612,13.992,4.39467083852596,6.37501050367263,28.7334171311619,12.6402304619131,14.6687737362391
4.489,5.518,25.57,10.429,14.141,4.4534435487498,6.45020380078808,28.5598438802288,12.8530178925944,14.7897383663503
5.061,6.529,29.292,13.338,15.954,4.39671286238467,6.41553370867134,28.5601367729576,12.933145157366,14.7045257639977
4.372,5.399,23.959,12.019,11.94,4.64640343452151,6.4120521532868,28.3901687879863,12.3296994733739,14.9319931371143
4.296,5.735,27.909,14.507,13.402,4.50836830125517,6.33065018342029,27.9095288721393,12.5334860059217,14.8197322837561
4.706,6.136,27.858,11.558,16.3,4.39866902144674,6.29875033045968,28.1870575874058,13.0121585673221,14.5910784608488
5.077,6.45,29.005,12.618,16.388,4.32545683209272,6.45246087229717,28.8179053224353,12.9747099223397,14.6773686005246
4.506,5.695,25.707,9.887,15.82,5.11855906099335,5.95101177878565,26.9428199086967,11.1864259118236,14.9300678052218
5.561,6.807,28.956,13.056,15.9,4.41171796687472,6.47104220308827,28.7078324977167,12.8781976681851,14.7728235558762
4.864,6.344,27.857,11.205,16.651,4.93452166488672,6.16537687215208,27.4996042796601,11.733818200825,14.9614002967378
6.48,8.296,35.502,18.892,16.61,4.49820803903672,6.55172710399397,28.9270108457111,12.5875311438225,14.9311283096224
3.936,4.971,22.736,9.606,13.13,4.37788101437621,5.50406027190242,23.125084673232,9.90480032013359,15.017257940238
4.278,5.611,27.583,15.535,12.048,3.93157603116334,5.59875672002803,26.330194847109,13.844104629192,13.635462252727
5.007,6.013,25.309,11.77,13.539,4.05056146727643,5.68143888569951,26.3119368053481,13.6267197538993,13.8181963540842
4.133,5.202,24.117,11.084,13.033,5.28570602803607,5.55658948869656,24.1724402577486,11.7331128729383,14.8380016653616
4.389,5.409,24.965,10.593,14.372,5.05745916909189,5.58835148452824,24.6412884042461,12.6587590025138,14.5482760587609
5.177,6.337,26.83,10.833,15.997,4.43133773443886,6.54410469233301,28.8900112355335,12.7813649582635,14.8666014682275
4.746,5.719,25.865,10.565,15.3,5.2267892017805,5.91667479161251,26.7263881746477,10.9928612092689,14.9984544861013
5.016,6.19,27.16,11.631,15.53,5.1990586383997,5.93130882791376,26.7375586742968,11.1059024387653,14.9851707125798
5.274,6.357,27.608,11.603,16.004,4.97822422340362,6.1630914144059,27.4225432411583,11.6761049645438,14.9995368151333
4.252,5.585,28.935,12.071,16.865,5.02871649008187,5.43043305056488,28.3502218040021,11.2932728491807,15.2999895778522
4.442,5.664,26.886,10.423,16.462,4.96129784544509,5.54019026858293,27.5153646909684,11.4472821925949,14.9846356545449
4.317,5.309,24.604,10.612,13.992,5.11689098425715,5.50739643001466,25.055364816684,11.5770771123858,14.244136961079
4.489,5.518,25.57,10.429,14.141,5.17193533864811,5.44343247511495,26.1651664344312,11.4793442883947,14.6214846063559
5.061,6.529,29.292,13.338,15.954,5.14240442327162,5.43294863559108,28.7427773940155,11.3299639603636,15.431685929534
4.047,5.047,23.099,9.117,13.982,4.76348381875987,5.87004568492127,25.3024080586572,11.7822804489329,14.2332794588274
4.372,5.399,23.959,12.019,11.94,4.700666502445,5.9587706473397,25.2006295449892,11.8619543808723,14.179929674787
4.681,5.705,23.789,10.131,13.658,4.62222392651061,6.09564255076954,25.0313452761059,11.9888843095735,14.0971920401427
4.706,6.136,27.858,11.558,16.3,5.14648244918243,5.44138900421571,27.1315115831487,11.4066631504963,14.9306454950251
5.077,6.45,29.005,12.618,16.388,4.98408213049238,5.53652129927454,29.4824556910649,11.3085710137228,15.6832391316255
4.761,5.803,25.066,10.824,14.242,4.67063934654227,6.05328836488784,25.0372617293354,11.9528180430914,14.1156215238011
4.742,5.915,26.665,12.601,14.064,4.55830850097602,6.79886341198841,26.2055830417595,12.5348599046705,14.5197927074789
4.864,6.344,27.857,11.205,16.651,4.60045218266381,6.84652241844169,27.1666653613538,12.4986062061216,14.8429554823225
6.48,8.296,35.502,18.892,16.61,5.03086386191266,6.59043546868059,30.4005311136695,12.037073934763,16.1842965640729
4.278,5.611,27.583,15.535,12.048,4.6453869248753,6.21401036423592,24.9411009177199,12.099065704175,14.0815586918518
5.007,6.013,25.309,11.77,13.539,4.59992955321927,6.42181727313432,25.0703131834051,12.272723549062,14.1186817780265
4.133,5.202,24.117,11.084,13.033,4.56870540268047,6.81446835545222,26.4132077030367,12.534753909633,14.598716221825
